name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
FRED A. MORSE,none,9980,"schooner, wood","1871, Nicholas, Vermilion, OH","182x31x13, 592g 563n","1892, Jun 27",12 mi SE of Thunder Bay Isl.,Huron,collision,none,none,iron ore,"She collided with the prop JOHN C. PRINGLE and sank in 200 feet of water while in tow of the steamer HORACE A. TUTTLE with two other schooners. Her crew abandoned in her boat and were picked up by the TUTTLE, as was the skipper of the PRINGLE, who had been knocked overboard by a falling spar. Registered out of Cleveland. Master: Capt. Bonnah. Ashore and abandoned in Little Traverse Bay, MI, Nov., 1873, but recovered by the tug GLADIATOR in the summer of ’74. Major repair in 1882","mv,nsp,stb,slh,hgl,hcgl",,m,44.296,-82.338594,estimated_from_place_text_lake_corrected
JAY C. MORSE,none seen in early mvus’s and nsps as J.C. MORSE,12958,"propeller tug/excursion vessel, wood","1867, G. Notter, Buffalo","78x18x9, 99g 70n [180 t. om]",1889,near Portage Ship Canal entrance,Superior,collision,?,none,?,"Struck boulders offshore and sank. Recovered, possibly much later. Struck a rock and foundered on a sightseeing trip with the loss of one life, Jul 17, 1867, after an unsuccessful run to shore. Shown in ’69 mvus as sidewheeler","mv,ms,gwgl,lhl",Image from GLMD,m,47.134411,-87.658198,estimated_from_place_text_lake_corrected
HAMILTON MORTON,none,none,"propeller, wood","1854, S. L. Collyer, Buffalo as a tug","92x19x9, 144 t. [om]","1858, Nov",at Detroit,Detroit R,fire,?,none,?,She was wrecked by fire and declared a total loss. Lay in the river for four years until her hull was recovered and rebuilt as W.R. MUIR (qv).,"lhl,wl,rsl",,m,42.430356,-82.808861,estimated_from_place_text_lake_corrected
JULIUS D. MORTON,sometimes seen as J.D. MORTON,45091,"barge, wood, bulk freight","1848, A.C. Keating, Monroe, Mich as a sidewheel passenger steamer, later a tug","167x26x11, 472 t.","1873, Aug 13",6 mi SE of Bar Pt.,Erie,storm,2 of 6,2,"250,000 ft. lumber","Tow of the propeller SUN with five others, she broke loose and went to pieces soon after. The captain, his wife and their little daughter, plus a sailor, escaped in the tiny yawl, while two other sailors who later drowned, elected to remain aboard. MORTON had been bound Saginaw for Erie, Pa. Master: Capt. P.H. Fick. She caught fire near Pte Aux Chenes [near Algonac] and burned to the waterline Apr 8, 1863. The blaze was thought to be the work of an arsonist. Raised and rebuilt to this barge. Also wrecked in a storm on Thunder Bay, MI, in 1853.","eas,slh,lhl,wl,nsp",,m,42.770685,-79.265427,estimated_from_place_text_lake_corrected
MARY MORTON,none,16435,"schooner, wood","1857, Bidwell & Banta, Buffalo",180 t. [246 t. om],"1870, Nov 19",on Long Point,Erie,storm,none,none,corn,"Bound for Buffalo, she went ashore and broke in two amidships. By the end of the month she had been abandoned. Owned by William Rankin & Capt. George Wilson, her master, (Detroit?). Rebuilt in 1867.","nsp,rsl,hgl,mv",,m,42.520069,-80.214578,estimated_from_place_text
MINNIE MORTON,none,C ?,"propeller steam tug, wood","1871, J. P. Jones, Amherstburg, Ont.","55×10, 28gc","1881, Oct 1","Bois Blanc Isl., near Bar Pt.",Erie,collision,none,none,none,"She was working on raising the sunken tug MARTIN SWAIN and was tied to the wreck for the night when she was struck by an out-of-control raft of lumber in tow of the tug JOHN OWEN. The MORTON was forced up on the raft and dragged away, while most of her crew scrambled onto the SWAIN. The tug was pulled out into the lake off Bar Point, where the logs parted and she sank in about 25 feet of water, while her skipper, who had remained aboard, jumped onto the raft. Owned by Odette & Wherry, Windsor, Ont.","slh,hgl,mmgl,es,nsp",Image from GLMD,m,42.797867,-79.104,estimated_from_place_text_lake_corrected
SYLVIA MORTON,none,23055,"sloop-barge, wood","1863, Roswell Hayes, Fairport, OH","123x25x9, 188g 180n","1887, Oct 27","Sandy Beach, Michaels Bay, Manitoulin Isl.",Huron,storm,none,none,light,"She was cast adrift by the steamer EMPIRE near White Shoals, Lake Michigan[!] and drifted across Lake Huron and onto this beach. As of Nov 1, salvagers were still trying to release her – she was not heavily damaged, but was far up the beach. Reg out of Detroit, owned by Murphy , Capt. Dearing, master.","mv,phr,nsp,hgl,rsl,es3-1, wl",,m,43.616855,-82.250649,estimated_from_place_text_lake_corrected
RICHARD MORWOOD,"built as schooner LENNIE or LINNIE POWELL, renamed in 1875",C73952,"schooner-barge, wood, 3-mast [iron frames]","1856, E. Waterbury, Port Dover, Ont.","134x25x11, 277gc 268nc","1887, Nov 19","Grand Island, near Munising, MI",Superior,storm,none,none,barrelled stove oil,"Separated from her tow vessel and with sails torn apart, she struck bottom and sank after drifting for some time. Homeport: St. Catharines. Owner: Morwood . Master: Capt. McPherson. Declared a total loss, but recovered by Americans in 1888. Changed to an American bottom and rebuilt as E.B. PALMER. Wrecked near Buffalo in 1859. Rebuilt 1874 by Bald, Port Dover and in 1889","mmgl,nsp,ms,gwgl,h,wb,lss,hgl,rsl,eas,hgl, wl",Image from GLMD,m,47.273843,-87.426685,estimated_from_place_text_lake_corrected
MOSES AND ELIAS,none,none,"schooner, wood","1834, A. Wilcox, Chaumont, NY","78 ft., 126 t.","1851, Nov",off Middle Bass Isl.,Erie,storm,?,none,general merch,Stranded and wrecked.,"ledc,hgl,wl",,m,41.68,-82.81,geocoded_direct
ALFRED MOSHER,none,1395,"propeller tug, wood, rafting","1863, Miller Bros., Chicago","71x15x7, 69 t.","1897, May 16","at Sturgeon Bay, Wis.",Michigan,fire,none,none,none,"She was laid up for the night at the ‘”mill slip” when she caught fire. She was towed out by the tug NELSON and water was poured on her until she sank in the bay. Her boiler was recovered in 1912 and the engine in 1933, while the hull was left to rot away. Owned by Walker, Dumann and Helmholtz of Sturgeon and chartered to lumberman Capt. Peter Peterson, Menominee.","wgts,hr,mv",,m,43.495026,-86.477201,estimated_from_place_text_lake_corrected
AMARETTA MOSHER,none,389,"schooner, wood, 2-mast*","1867, Thayer, Ashtabula, OH","135x30x11, 301g 286n","1902, Nov 29","Starve Isl. Reef, near Port Clinton, OH",Erie,storm,none,none,coal,"Lost from the tow of steamer D.F. ROSE, she was blown on the reef and wrecked. Bound Huron, OH for Port Huron in company with barges WAWANOSH(qv) and LYMAN CASEY. Owner: Capt. David Hutchinson. *one source says she was changed to a 3-master in 1885","is,ns1,ledc,nsp,mv,phr,ew,bbas",Image from GLMD,m,41.556369,-82.880574,estimated_from_place_text
A.H. MOSS,none,1025,"schooner, wood","1863, P.F. Crozier, Vermilion, OH","140x26x12, 304g 289n","1887, Oct 29",near Presque Isle,Huron,storm,none,none,lumber,"In tow of the steamer ELFIN-MERE when she broke loose and went ashore. Her crew was rescued by the tug ANNIE MOILES. Homeport: Detroit Owner: Hurley. Also wrecked in a gale near Buffalo, Nov 24, 1882. Rebuilt, 1883","mv,slh,is,hgl,rsl,hr,glmd, wl",,m,43.91526,-82.695908,estimated_from_place_text
J.O. MOSS,also seen as J.U. MOSS,13475,"schooner, wood","1863, J. Estes, Sandusky, OH","94x26x9, 166 t.","1882, Nov 23","near Big Sable Point, Michigan side",Michigan,storm,1 of 6,1,shingles,"after being battered by a gale, she was lying at anchor and doing repairs in a moderate blow when she was hit with the renewed fury of the storm. Her anchors dragged and she was blown into the shallows, where she went to pieces. 5 crew were rescued from rigging by Lifesaving Service, but the sixth tried to save himself on his own and was lost. The vessel was reportedly recovered, but doesn’t show on later official lists, perhaps a constructive total loss..","phr,nsp,h,lmdc,g8s,hgl,usls,rsl",,m,43.205171,-86.712205,estimated_from_place_text_lake_corrected
JOHN T. MOTT,none,C,"schooner, wood","1869, G. Goble & Macfarland, Oswego [US#75157}","137x26x11, 325 g 309 n",1915 (ca.),Georgian Bay,Huron,sunk,?,none,?,"No detail. She was sunk by a collision with the schooner MONTICELLO in 1884 near Colchester Reef, Lake Erie. Her coal cargo was salvaged in July, 1889 and sold to Canadians, and the vessel was brought up in August of the same year. Sunk on Colchester shoal in Sep, 1884 and declared a total loss. Also reported sunk at Fairport, OH, L. Erie, in an 1893 in a gale reported to have pushed 70-mph winds. Sold Canadian, 1903","tel,osdo,ns2,mv,nsp,hcgl,mr",Image from GLMD,m,43.972648,-81.87013,estimated_from_place_text_lake_corrected
THOMAS S. MOTT,none,24394,"schooner, wood","1862, Goble, Oswego","137x26x12, 326 t.","1874, Oct 29",½ mi N of Ludington,Michigan,storm,none,none,"20,640 bu wheat","Bound Chicago for Buffalo, she struck bottom and sprung a leak in a gale. Her crew fought the rising water with her pumps for more than 12 hours until she finally drifted ashore. After several attempts a boat from the steamer BERTSCHY was able to rescue her crew. She went to pieces quickly. Her gear and outfit was salvaged the following summer. Out of Chicago. Master: Capt. McGowell.","nsp,mv,rp,hcgl,mmo",Image from GLMD,m,43.450366,-86.587821,estimated_from_place_text_lake_corrected
MOUNT VERNON,none,none,"propeller, wood","1854, Ketchum & Keating, Huron, OH","178x29x12, 577 t. om","1860, Oct 9","3 mi ESE of “the Dummy,” Pt. Pelee",Erie,explosion,2,2,"corn, flour and wheat","Bound Detroit for Buffalo, she exploded her boiler and became a total loss. Her stern was blown to pieces and she sank in 20 minutes, a total loss. The survivors of her crew climbed her rigging as she went down and were rescued by the schooners FOX and LOOKOUT. Her final enrollment document of Sep 16, 1859 is annotated “Lost, burst her boiler, 1860.” Owned by Western Transportation Co. Master: Capt. Newman. Her wreckage was struck by several vessels in the months that followed, causing the loss of at least the scow OTTOCA of Saginaw.","lhl,hgl,wl,nsp,eas,ew",,m,42.20214,-81.274915,estimated_from_place_text
MOUNT VERNON,none,16405,"schooner, wood, 2-mast","1849, J. Connor, Chicago","112x25x9, 172 t.","1869, Apr 9","near Kewaunee, WI",Michigan,storm,none,none,2800 rr ties,"Blasted by a storm while loading at Dean’s Pier, she set sail to avoid beeing destroyed against the dock, but did not answer the helm and drove ashore north of the pier. Only sunk to her decks, but probably abandoned as a total loss. Major repair in 1861","nsp,hr,hgl,mv,rsl,mdwl,wgts",,m,44.248826,-87.366558,geocoded_near_at_lake_corrected
MOUNTAIN MAID,none,16441,"scow-schooner, wood","1852, Fairport, Oh",53 t.,"1877, Aug 3","Black River, Oh",Erie,storm,none,none,limestone,"Bound for Cleveland with a heavy load, capsized NW of the west pier and sank. Her crew was taken off by the tug N. B. GATES. Her sunken hull was later reported as a dangerous obstruction 400 ft. NW of the Black River lighthouse. Owned by Russel, out of Cleveland. Master: Capt. Will Faragher. Rebuilt in 1864","nsp,mv,rp,wmn,wmhs",,m,42.460144,-80.649458,estimated_from_place_text_lake_corrected
MOUNTAINEER,none,C71185,"schooner, wood, 2-mast","1854, M. McLeod, Goderich (or Kincardine)","58x16x8, 43gc 43nc","1882, Jul 31","near Port Glasgow, Ont. [Pte Aux Pins], also given as Tyrconnell",Erie,storm,none,none,?,"She was driven into shallows by a SE gale and severely damaged a Tyrconnel lumber dock by colliding with it. Initially she was only lightly damaged, but the building gale finally pounded her to pieces, a total loss. Stranded with heavy damage on Mohawk Isl., near Port Maitland, Ont., in 1857. Sunk at Sandusky, OH, in Oct., 1863. Ashore on the north side of Georgian Bay and declared a total loss in November, 1864. Heavily damaged in a grounding on Georgian Bay in 1869. Reported a total loss on Lake Huron near Meaford, Ont, in October, 1873, but recovered in 1875. Rebuilt 1870 & 1873, Owen Sound. Major repair in 1861 Maybe the vessel built at Port Stanley and launched in June, 1882. [mmgl (N.A.C.) shows this register closed 2/11/1881]","mmgl,slh,h,win,hgl,nsp,rp,rsl,es",,m,42.070077,-81.18287,estimated_from_place_text
OLIVER MOWAT,none also seen as OLIVER MOWATT,C92384,"schooner, wood, 3-mast","1873, Beaupre, Millhaven, Ont.","116x26x11, 341 t.","1921, Sep 1*",near Pennicon Shoal off Main Duck Isl.,Ontario,collision,3 of 5,3,coal,"Rammed and sunk by the 1700 ton steel steamer KEYWEST, whose Capt & Mate were jailed for keeping such a poor lookout. Bound Oswego for Picton and owned out of Bowmanville; known as a fast sailer, she was a total loss of $10,000. Master: Capt. Thomas VanDeusen(d). Ashore & heavily damaged by storm near Oshawa, Ont. Nov 28, 1905. *Sep 21 also given in error as date.","mmgl,ns3,h,nsp,win,is(2-90),osdo,mpl,dmt",Image from GLMD,m,43.368823,-78.54086,estimated_from_place_text_lake_corrected
JAMES MOWATT,none,76518,"schooner-barge, wood","1884, Wolf & Davidson, Milwaukee","166x33x13, 523g 497n","1919, Oct 10","in harbor at Alpena, MI",Huron,collision,none,none,lumber,"Rammed a stone jetty and sank, a total loss. Out of Port Huron, Mich Ashore near Eagle River, Mich, L. Superior, and thoroughly wrecked in September, 1893. She was hauled into drydock at Milwaukee but abandoned to her underwriters as a constructive total loss.","stb,slh,ns3,phr,mpl,nsp,mv",Image from GLMD,m,43.710621,-82.451122,estimated_from_place_text_lake_corrected
GEORGE M. MOWBRAY,also seen as G. W. MOWBRAY,C66020,"schooner, wood","(1875), Quebec","57x17x9, 40 t.","1880, Nov 10","in harbor at Erie, PA",Erie,storm,none,none,40 tons nitroglycerine and blasting powder,"Bound Montreal for Fort William, she was caught in a NW gale and snowstorm and fled to the harbor for safety. She struck a pier and sank, where she became a total loss. Salvagers later removed her dangerous cargo [shipped by Hamilton Glycerine of Montreal to Canadian Pacific RR] before it caused more trouble. Master: Capt. Mellwain.","h,usls,nsp,rp",,m,42.34869,-79.949196,estimated_from_place_text
MARGARET A. MUIR,none,90459,"schooner, wood","1867, Hanson & Scove, Manitowoc, WI","129x26x12, 347g 330n","1893, Sep 29","ESE of Algomah, WI",Michigan,storm,none,none,"4,200 bbl salt","Bound Bay City for South Chicago, she foundered in a gale. Came to rest standing on her stern with bow emergent, but was later pounded to pieces. Her crew abandoned in her yawl. Out of Chicago, owned by Capt. David Clow and David Muir of Chicago and Detroit. Major repair in 1884","wb,hgl,mv,polk,hr,nsp,wgts",,m,43.471703,-86.949892,geocoded_lake_centroid
W.R. MUIR,"also seen as W.K. MUIR*. Built as HAMILTON MORTON(qv), renamed in 1863",C46226,"propeller tug, wood","1854, Geo. Colyer, Buffalo","110×20, 123 t.","1867, Sep 18",Near the mouth of the Black River.,St. Clair R.,explosion,7 of 12,7,none [bark CITY OF BUFFALO and another vessel in tow],"Her engineer, noticing the water was low in her boiler, stopped her engine and began to douse her fires. The captain of her tow, CITY OF BUFFALO, coasting up behind, frantically signalled her to get out of the way. When she restarted her engine, a terrific boiler explosion resulted. Canadian registry, but owned out of Detroit by J. Pridgeon. Two of his brothers died in the explosion. Master: Capt. Robert Pridgeon(d). Burned at Detroit and sunk in Nov, 1858. Raised in 1863, rebuilt and enlarged, becoming a Canadian bottom in 1864. Raised and returned to U.S. bottom after this accident, US#26249 *There was a tug W.K. MUIR built at Milwaukee, 1862 [US#26367]. She had a major fire at Milwaukee, July 4, 1867, dismantled in 1881.","nsp,lhl,hgl,mmgl,clu,st,mpl,rsl,nsp,hr,glmd —-——————————— MARTIN MULLEN – See SCOTIADOC",,m,42.420868,-82.734457,geocoded_lake_centroid
ANNIE MULVEY,none,C?,"schooner, wood","1867, L. Shickluna, St. Catharines, Ont","123x26x11, 295 t.","1885, Aug 3-4",at Toronto,Ontario,fire,none,none,coal,"She was lying at the Rogers & Co. dock when she was caught up in the “Esplanade Fire” of August 3-4. She was scuttled to try to save her and her cargo, but was declared a total loss soon after and the hull removed. Owned by Wm. Hall, Toronto.","hgl,wmn,nsp",,m,43.758349,-76.903156,estimated_from_place_text_lake_corrected
C. J. G. MUNRO,also seen as C.J.G. MONROE and CHARLES JOHN GEMLEY MUNRO,C73955,"propeller steam tug, wood","1876. Geo. Garner, Merritton, Ont.","55x15x7, 43gc 31nc","1892, Nov 16","at Port Colborne, Ont",Ontario,fire,none mentioned,none,none,"Caught fire from a lamp explosion and destroyed. Her engine and boiler were later salvaged and the hull abandoned. Document surrendered in April, 1893. Owned out of Port Colborne","nsp,wmn,wl,mmgl,hgl",,m,43.469901,-77.106343,estimated_from_place_text_lake_corrected
COLIN MUNRO,none,C none,"propeller steam tug, wood","1873, J. Allison or Ellison, Port Stanley, Ont.","52x11x6, 40 gc 31nc","1883, Oct 30","At Wiarton, Ont.",Huron,fire,?,none,none,Burned to the water’s edge. Owned out of Port Stanley by T. Mentor.,"nsp,polk,mmgl",,m,44.758047,-81.106894,geocoded_near_at
MUNSON,none,C,"dredge barge, wood",?,?,"1890, Apr 29","off Lemoine Point, near Kingston",Ontario,hull failure,none,none,equipment,"She had just finished dredging a channel for the launch of the big schooner MINNEDOSA[qv], and was on the return trip to Belleville in charge of the tug EMMA MUNSON, along with two small scows, when a minor leak turned into a major one. From the discovery of the leak to the loss of the vessel was only a matter of four minutes. The vessel’s cook was dragged down an estimated 35 feet by the suction of the sinking boat, but was able to make it back to the surface. The vessel went down in 100-130 feet of water. Owned by E. A. Munson of Cobourg, Ont, sailing out of Belleville.","hgl,wmn,nsp,tr",,m,43.63535,-76.978234,estimated_from_place_text_lake_corrected
MUNSON,?,C?,"dredge, wood",?,?,"1890, Apr 30",off Lemoine’s Point,Ontario,hull failure,none,none,"gear, lumber","Bound for Belleville, Ont. In tow of the tug EMMA MUNSON, she sprang a leak and sank quickly in 130 ft of water. Owned by K. A. Munson, Cobourg, Ont. hgl gives location as “Loosemore’s Point.” Not in Polk.","slh,hgl,nsp(?),hgl,mhgl",,m,43.371773,-77.226954,estimated_from_place_text_lake_corrected
MUNSTER,none,163779,"scow, steel","1909, Great Lakes Engineering, Ecorse, Mich.","125x32x8, 316g 316n","1936, Dec 6","off Harbor Beach, MI",Huron,(storm),none,none,?,"Foundered well offshore. Owned by Dunbar & Sullivan Dredging, Buffalo.","h,eas,hr,mv",,m,43.757213,-82.167807,estimated_from_place_text_lake_corrected
MURIEL W.,"built as propeller VERONICA, renamed in 1919",C138505,"propeller, wood, bulk freight","1886, Milwaukee Shipyard, Milwaukee hull #24 US#161560",202x35x18 1092g 881n,"1919, Aug 11","near Port Weller, Ont.",Ontario,collision,?,none,?,Struck a sunken crib and sank. Sold Canadian in 1919.,"mmgl,ns2,h,csv,win,mpl",Image from GLMD,m,43.493614,-77.045935,estimated_from_place_text_lake_corrected
PADDY MURPHY,none,150271,"propeller steam tug, wood","1882, Martel, Saugatuck","69x17x9, 42g 21n","1888, Apr 23","off Dover Bay, 12 mi W of Cleveland",Erie,fire,none,none,none [barge in tow],"Bound for Lorain with the barge REPUBLIC in tow, she caught fire and was turned to shore to save her and her crew. The crew survived, but MURPHY grounded in 8 feet of water and burned to the waters edge, a total loss. Recently purchased by Thos. Maytham of Buffalo, but not turned over to him yet. Owned by Thomas Axworthy, Cleveland.","nsp,hgl,ew,jk",,m,42.788075,-79.565591,estimated_from_place_text_lake_corrected
GRACE MURRAY,none,10222,"schooner, wood, 2-mast","1856, Wm. Jones, Black R., Ohio","128x26x11, 254g 242n","1901, May 12","at Ecorse, Mich","Detroit, Mich",fire,none,none,none,"This ancient schooner or schooner-barge had lain against a bar near shore for some years when a fire tripped off by a railroad switch engine set the nearby Raupp & Co. Lumber yard ablaze. The veteran craft was set on fire by flying sparks and quicky burned to the waterline. Out of Detroit Had many minor mishaps in her career: collisions in 1866 and 78; strandings in 1860, 69, 73 and 84; a sinking in 1871 and a fire in 1869.","nsp,mv,wmn,jm",,m,42.507952,-82.834466,geocoded_near_at_lake_corrected
ELLA MURTON,none,C71067,"schooner-barge, wood, bulk freight, crane equipped","1875, W. Jamieson, Deseronto [Mill Pt.], Ont.",118x26x10 229gc 229nc,"1903, Nov 3*","South Bay, S end of Manitoulin Isl.",Huron,(storm),?,none,?,"Stranded near the mouth of the Bay and wrecked by waves. *mmgl – file closes 11/1/1900, registration closes 4/27/03.","mmgl,ns1,mpl",,m,43.875411,-81.892316,estimated_from_place_text_lake_corrected
MUSCALLONGE,"built as VIGILANT, renamed 1913",C133752,"propeller steam tug, wood","1896, Jenks, Port Huron, MI hull #9 (US#161767)","128x25x12, 360gc 245nc","1936, Aug 15","near Port Weller, Ont. or Brockville",Ontario,fire,none,none,barge in tow,"Towing the fuel barge BRUCE HUDSON (qv), she caught fire in her galley and was run to the shallows. The next morning her 1,000 gallons of bunker fuel caught fire and the tug exploded, burned to the waterline and sank. Master: Capt. Ahern. Owner: Sincennes-McNaughten, Montreal, chartered to Lloyd Tankers, Toronto. Sold Canadian, 1913.","do2,mmgl,csv,mv,win,sca",Image from GLMD,m,43.383616,-77.409212,estimated_from_place_text_lake_corrected
MUSIC,none,92421,"propeller steam tug, wood","1892, McMillan, South Haven, MI as an excursion boat","93x21x8, 93g 67n","1899, Sep 30",N side of Portage Lake,Michigan,fire,none,none,none,"Burned to a total loss at Onekama, Mich., along with the Onekama Lumber Co’s dock and warehouse. Local folklore – probably true – has it that she was cut loose and drifted down the lake, burning like a torch, though newspaper accounts don’t mention it. Owned by H. Slingerland, Manistee.","lmdc,mv,mpl,cc,nsp",Image as passenger vessel from GLMD,m,43.498308,-86.458352,estimated_from_place_text_lake_corrected
MUSKEGON,none,90466,"sidewheel steamer, wood, passenger & package freight","1871, G.S. Rand, Manitowoc, WI","193x29x12, 618g 486n","1896, Sep 22","at drydock, Milwaukee",Michigan,fall,none,none,none,"She fell a few feet off her blocks in drydock at the Milwaukee Dry Dock Co. The hull broke in two and was damaged beyond repair, even though some experts felt she could be repaired. She was auctioned off in December for $250 and remained in Milwaukee until she was dismantled in 1905. The Goodrich Line steamer was worth $25,000 at the time of the mishap.","nsp,rsh,mv,mpl,nsp",Image from GLMD,m,42.987552,-87.848826,estimated_from_place_text
MUSKEGON,"built as pass/pkg freighter PEERLESS, renamed in 1907",20470,"propeller, wood, bulk freight sandsucker","1872, I. Lafrinier, Cleveland","211x40x13, 1199g 913n","1910, Oct 6","at dock at Michigan City, IN",Michigan,fire,none,none,sand,"Unloading at the dock when fire broke out in her after end. She burned to total loss. Later towed to deep water and cast off to sink, but refused to go down and drifted ashore. Owned by Independent Sand & Gravel Co., Chicago. In September, 1877 she jettisoned a cargo to keep her from sinking after a collision. The cargo consisted of flour, feed and sundries, plus26 head of cattle and about 70 sheep. Had a short career in 1907 as a floating casino. Converted to a bulk freighter in 1908 after more than 35 years as a crack passenger steamer. Converted to a sandsucker in 1910","is(3-61),ns2,lmdc,mv,mpl,eas,nsp",Image as a wreck from GLMD,m,43.691995,-86.812489,estimated_from_place_text_lake_corrected
MUSKEGON,"built as CITY OF MILWAUKEE, renamed HOLLAND(1905), last name in 1919. Some reports erroneously call her “City of Muskegon”",125906,"sidewheel steamer, iron, passenger & package freight","1881, Detroit Dry Dock, Wyandotte, MI hull# 44","231x34x12, 1149g 872n","1919, Oct 28 (also given as Sep 22)","harbor mouth at Muskegon, MI",Michigan,storm,29 of 39,29,general frt,"She went out of control in a westerly gale due to a problem with the engines and rammed the pierhead while docking. She sank quickly, trapping most of the lost below decks. Owned by Holland Steamship Co. (Crosby Transportation Co.) of Chicago. Built for the famous Goodrich Line and designed by Frank Kirby.","atl,is,sol,rsh,h,lmdc,mv,mpl,rsh,eas",Image as HOLLAND from Hudson Keenan Collection Image of her wreckage washing ashore from GLMD,m,43.800756,-86.835392,estimated_from_place_text_lake_corrected
MUSKINGUM,none,16413,"schooner, wood, 2-mast","1856. Stephens & Presley, Cleveland","139x26x11, 259 t. [382 t. om]","1868, Nov 22","Bois Blanc Island, Straits",Huron,storm,none,none,445 t. coal,"Bound Cleveland for Chicago, she ran ashore after the the shifting of her anchor chain from forward to aft threw her compass off and she went ashore in the storm. She was reportedly broken up beyonf saving by the next day. Owners: McCormick Bros. & Finefield. Master: Capt. McCormick.","nsp,mv,rsl,wl",,m,44.796569,-82.871844,estimated_from_place_text_lake_corrected
MYLES,"later CATARACT(1906), THERESA T (1926)",C77698,"propeller, wood, passenger & package freight","1882, A. Robertson, Hamilton, Ont.","175x34x15, 1211 t.","1886, Nov 2","Murray Shoal, near Brighton, Ont.",Ontario,storm,none,none,"wheat, gen frt","She stranded on a shoal when she went off course due to a buoy blown out of place. Immediately declared a total loss, but later refoated after a long and difficult salvage effort, and went on to a career lasting until 1926. In that year she was named THERESA T & laid up. Abandoned in ’42. Shoal where she stranded is sometimes charted as “Myles Shoal.” Rebuilt to barge in 1916, re-engined in 1918, back to a barge in 26. Rebuilt 1896, 1907, 1918.","nsp,mmgl,h,rp,dmt","Image as sunk in 1886, from GLMD",m,43.766674,-78.98448,estimated_from_place_text_lake_corrected
MYOSOTIS,none,90764,"schooner, wood, 3-mast, bulk freight","1874, Milwaukee Shipyard, Milwaukee [begun by Allen & McClelland, Milwaukee]","137x26x11, 332g 317n","1887, Nov 11","near harbor mouth at St. Joseph, MI",Michigan,storm,none of 7,none,600 t. iron ore,"Bound Escanaba for St. Joseph, she struck a reef near the harbor entrance and sank to her decks. Her crew made it ashore in her boat, but the vessel was pounded to pieces by waves. Master: Capt. Maloney. This was the 4th vessel of Capt. A. P. Read’s fleet of Chicago to be wrecked within a month, almost wiping him out financially [CITY OF GREEN BAY, HAVANA, $12,000 damage to D.S. AUSTIN].","mv,h,lmdc,nsp,wb,hgl,sb,wes,mpl,bcha,eas,lotl",Image from GLMD,m,43.204831,-86.431463,estimated_from_place_text_lake_corrected
MYRA,none,16434,"schooner, wood","1865, Saybrook, OH","61x17x6, 41 t.","1871, Dec 4",Maumee Bay,Erie,ice,none,none,wheat,"Left Toledo for Cleveland, following a track made in the ice by a tug, but got caught after 7 or 8 miles. A tug and tow which was behind her had to pass, pushing her further into the ice field. Though her crew tried to save her, she soon began to leak and sank in relatively shallow water. Out of Saybrook, OH","nsp,hgl,mv,phr,wmn",,m,41.829379,-83.446825,geocoded_direct
MYRA,none,90900,"sloop, wood","1875, Cleveland, OH",9gt,"1885, Nov 15","at Sand Beach, MI",Huron,storm,?,none,?,"Stranded and broke up, a total loss. Out of Sand Beach","phr,mv",,m,43.56811,-82.360054,estimated_from_place_text_lake_corrected
MYRON,"built as steamer MARK HOPKINS, renamed in 1902",91993,"propeller, wood, bulk freight “lumber hooker”","1888, J. Collister, Grand Haven, MI","186x33x14, 732g 494n","1919, Nov 22",1.5 mi off Whitefish Point,Superior,storm,17 of 18,17,lumber,"Towing the schooner-barge MIZTEC(qv), she began to leak in a terrific NW gale. Her crew cut the barge loose and prepared to abandon, but seas were too high. Despite steamer ADRIATIC trying to block the weather and 3 attempts by the Lifesaving Service, MYRON foundered with all still on board. Only one survived. Out of Duluth. Wreck was located in 1972. Sunk by collision in Hay Lake, 1895, at Chicago, 1896","nsp,is(1-85),lssc,lss,gwgl,mol,sol,ns3,h,mv,win,mpl,m&h,eas",Image from GLMD,m,46.641036,-86.977061,estimated_from_place_text_lake_corrected
MYRTIE,often seen [erroneously] as MYRTLE,92576,"propeller steam tug, wood","1894, Hingston & Son, Buffalo","53x15x7, 25g 13n","1907, Nov 2","Horseshoe Reef, near Buffalo, NY",Erie,storm,none,none,none,"Stranded on reef the 2nd, then broke up in big gale the 15th. Owner: Lake Erie Dredging Co.","mv,h,is,hcgl",Image from GLMD,m,41.545686,-82.362806,estimated_from_place_text
MYRTIE,also seen as MYRTLE,C75634,"propeller steam tug, wood","1877, M. Simpson, St. Catharines, Ont.","57x15x6, 63gc 50nc","1892, winter",unreported,unreported,fire,?,none,none,no detail. Her engine was removed and the hull was later recovered and rebuilt as TUG ELMER (C75634) and registered out of Saugeen 1894-1900. Built for use as a river tug.,"mmgl,clu,is,go",,m,41.695386,-82.131412,estimated_from_place_text
